,open,high,low,close,volume,log_return,volatility,trend_slope,volume_zscore,price_dist_ma,regime_wf_viterbi,prob_crash,prob_sideways,prob_bull,regime_wf_forward
2017-11-17,7838.54,7988.5,7536.0,7714.71,25045.6530014,-0.0159224207854773,0.05326379091075,0.0549027003730432,0.1134252373350069,0.3133748912232751,0,0.9824720684230568,2.520166143458625e-13,0.017527931576722847,0
2017-11-18,7714.7,7847.98,7502.0,7777.01,14707.53684425,0.008043049558333,0.0531127038721508,0.0567674081982805,-0.8821394515124856,0.3078607831158264,0,0.9938469932339088,4.126627758197097e-12,0.006153006761860798,0
2017-11-19,7777.01,8098.62,7700.0,8031.82,14765.96963561,0.0322392067848422,0.0520069856307566,0.059418370332119,-0.8960083397465393,0.3341415878859885,0,0.9915033749558384,1.3424576092841524e-12,0.00849662504263921,0
2017-11-20,8031.83,8293.25,7969.0,8256.01,15693.26060594,0.0275302676390916,0.0519770389946832,0.060149378109461,-0.8780294909274939,0.3540125924330598,0,0.971561930119803,7.491074957966536e-13,0.02843806987953113,0
2017-11-21,8256.01,8375.0,7802.99,8109.0,31256.2619911,-0.0179668640163632,0.0517128254232134,0.0596769929070863,0.5793087732055429,0.3138866231046306,0,0.8225081571236719,5.344282248072837e-13,0.17749184287564565,0
2017-11-22,8109.0,8298.98,8103.13,8250.0,13690.8317595,0.0172386443841692,0.0509149877439749,0.0602576492748159,-1.1045727192005548,0.319872109672061,0,0.8458758044405382,1.403488335740333e-11,0.15412419554564505,0
2017-11-23,8250.0,8274.98,8031.16,8031.16,11919.91670069,-0.0268842245395675,0.0510840451014988,0.0601512391787993,-1.1573819608547593,0.2693608845487829,0,0.9258175423906253,1.2475545082243182e-12,0.0741824576082141,0
2017-11-24,8031.16,8324.0,7900.0,8215.01,14748.71323788,0.0226339929669219,0.0511437656905824,0.06005088596087,-0.824666518858173,0.2826270493240462,0,0.9867100639388598,2.5787601218189456e-11,0.013289936035426221,0
2017-11-25,8215.01,8795.5,8203.98,8795.5,16482.32785846,0.068277258282879,0.0526102379640305,0.0609907018139543,-0.6809325863019617,0.3545121926579417,0,0.993885246653602,1.8266803424143071e-16,0.006114753346532602,0
2017-11-26,8795.5,9596.0,8795.5,9401.11,28641.69759252,0.0665875403540207,0.0540480127515802,0.0638917271669099,0.4273324175375478,0.4259221267246956,0,0.7083436921209311,1.6271933665196624e-17,0.2916563078789363,0
2017-11-27,9401.11,9795.0,9401.0,9768.71,25683.3262464,0.0383566530787231,0.0518462756609936,0.0665594513705327,0.1364835733026231,0.4588202496414365,2,0.0024467393392521393,1.2692428146502096e-18,0.9975532606606702,2
2017-11-28,9768.71,9989.95,9705.99,9949.0,18960.42673846,0.0182876231176557,0.0518298448958867,0.0695547573866265,-0.5383872780857978,0.4631103540800584,2,6.398673208305762e-05,5.895911127083236e-20,0.999936013267836,2
2017-11-29,9949.0,11485.0,8595.55,9935.98,70224.99702034,-0.0013095313005733,0.0514575943524803,0.0722498676345999,3.1450634097128227,0.4392426879776986,2,1.3504815109181412e-08,2.0532231405716255e-20,0.9999999864953679,2
2017-11-30,9920.81,10850.0,9135.6,9903.0,42536.31363519,-0.0033247707674837,0.0500021196288188,0.0730717847162257,1.068762449502095,0.4136284171430032,2,2.5188469850848475e-05,1.5622081340217304e-17,0.9999748115299584,2
2017-12-01,9903.01,10937.0,9517.0,10869.84,33257.5736678,0.0931542400743972,0.0472175517519401,0.0732319255941031,0.4268086280015906,0.527956147378558,2,9.70418206037483e-07,5.4248758461434756e-27,0.9999990295819022,2
2017-12-02,10869.85,11100.0,10701.0,10930.24,20197.01810153,0.0055412782478108,0.0454353982238956,0.0725441008112565,-0.4619689609799409,0.5138663372078319,2,4.230045699551528e-07,3.454075909916131e-24,0.9999995769954679,2
2017-12-03,10930.24,11891.0,10601.0,11290.0,31415.80537618,0.0323841183001967,0.0390763739566842,0.0722563339927687,0.418855489026605,0.540350637833413,2,5.330007981994862e-09,2.3704319270148936e-24,0.9999999946699063,2
2017-12-04,11290.0,11650.0,10950.0,11643.98,20180.88652913,0.0308719300975209,0.0352524772249706,0.0731541102687764,-0.3753622535619303,0.5632639116227556,2,6.483524838430158e-09,5.999755866048991e-27,0.999999993516667,2
2017-12-05,11643.99,11875.0,11532.0,11718.35,17711.49076161,0.0063666809957039,0.0353640080515026,0.0743147926208056,-0.552421618929072,0.5484538876197503,2,2.346253644488282e-08,7.57566065144094e-27,0.9999999765373107,2
2017-12-06,11718.34,14425.0,11717.5,14090.0,51358.74592889,0.1843093366557934,0.0469819116402519,0.0806080922346043,1.7620870791956211,0.8209558180287964,2,9.412593983393469e-18,3.3623018369764054e-77,1.0,2
2017-12-07,14090.0,19697.0,13500.0,17390.01,84528.1023714,0.2104305774985656,0.0606836573298346,0.0945476338994477,2.9068224849316224,1.1808373357130657,2,2.3102184286870534e-36,1.8332287255725622e-151,1.0,2
2017-12-08,17390.01,17777.69,13788.99,16367.03,68522.70363443,-0.0606269579305285,0.0633915171720933,0.1047683510090743,1.793514342116627,0.9990836013348728,2,2.182007673279359e-24,4.618385351191664e-122,1.0,2
2017-12-09,16367.03,16499.0,13550.0,15309.98,41170.50758947,-0.0667640421456151,0.0670278170276705,0.110486423896579,0.4382689275870446,0.8283446091349993,2,1.9288788593521545e-13,1.0804418958420845e-83,1.0,2
2017-12-10,15309.99,16300.0,13501.0,15290.01,52882.81594883,-0.001305229370017,0.06742670134845,0.1158095461530668,0.9101241988679888,0.7864275293326186,2,6.621324774546365e-10,1.0253735589690413e-57,0.9999999993378879,2
2017-12-11,15290.01,17493.0,15200.0,16885.76,41169.69239233,0.0992709892258297,0.0690580479198575,0.118372314786275,0.2969480084810032,0.9239520647240984,2,8.80290783081675e-12,1.3966004459526587e-74,0.9999999999913598,2
2017-12-12,16885.76,18149.99,16375.0,17730.12,38219.40739552,0.0487942250638982,0.0680722522080051,0.1152854919644706,0.137148090742531,0.9671535728981016,2,2.668308147065949e-14,2.8088567012155702e-84,1.0,2
2017-12-13,17730.12,17900.0,15700.0,16689.61,31867.18168864,-0.060478518137797,0.0712529721574529,0.1135837234019078,-0.2208837176691194,0.8069452282723186,2,6.383604753020049e-10,9.831756267703749e-78,0.9999999993615347,2
2017-12-14,16689.62,17199.6,16256.0,16749.78,16329.87585067,0.0035987537415364,0.070263855227367,0.1145108990754314,-1.023538629724078,0.7712332627890326,2,9.527293096012153e-08,3.2618157763772433e-56,0.9999999047272513,2
2017-12-15,16749.79,17899.0,16745.0,17738.67,28605.3275268,0.0573618783993381,0.0703667915241313,0.1170389681965187,-0.4457555815670178,0.8299542184164387,2,9.639449217568078e-09,7.73775979728111e-60,0.9999999903607204,2
2017-12-16,17738.68,19797.0,17630.0,19650.01,24853.68358079,0.1023308449651938,0.0715149428249351,0.1197788766415888,-0.6754943341169608,0.9707348530549632,2,6.190474584186076e-12,1.5504047568861788e-84,0.9999999999936335,2
2017-12-17,19650.02,19891.99,19010.0,19378.99,21476.23509637,-0.0138883576995122,0.0720760841940805,0.1201120177874539,-0.8268982828330365,0.8918431012942661,2,6.056599866796045e-11,2.67633085648846e-79,0.9999999999395186,2
2017-12-18,19378.99,19385.0,18200.0,19039.01,26385.52352887,-0.0176994573084092,0.0729566440389497,0.1204652938230876,-0.5710650731962214,0.8129930676262721,2,6.716899581278724e-09,3.6160137814298537e-66,0.9999999932829269,2
2017-12-19,19039.01,19099.0,16800.0,17838.73,32148.34752127,-0.0651180959360255,0.0759370731213025,0.1191492397898751,-0.3075127506010964,0.6616246182369208,2,1.342859122259245e-05,6.80095734295323e-58,0.9999865714086233,2
2017-12-20,17838.73,17890.0,14001.0,16496.89,47992.44424371,-0.0782000579844973,0.0791948954699223,0.1136762192393177,0.6500154680756813,0.5083900216971151,2,0.03253330611727196,5.879464457103271e-49,0.9674666938827249,2
2017-12-21,16496.9,17364.57,15151.0,15758.8,28740.89368429,-0.0457729388937545,0.0804626040309865,0.1030338650537351,-0.4291043684584145,0.4176356035275833,0,0.960650085991394,8.325254584413036e-37,0.039349914008620854,0
2017-12-22,15758.8,15974.95,10400.0,14210.57,103039.93421339,-0.1034128854975106,0.0831739416181825,0.0902533747976715,2.81685818514214,0.2620772215336093,0,0.9999995755389127,1.382954055100644e-54,4.244609953009691e-07,0
2017-12-23,14229.47,16261.0,13750.0,15075.89,30795.88799527,0.0591107251119033,0.0837608337864341,0.0802572989374506,-0.4126997754239433,0.320386549223224,0,0.9999999999363354,5.210275448486232e-38,6.369754891124162e-11,0
2017-12-24,15075.89,15109.27,13210.0,14221.94,24834.83362307,-0.0583109363766788,0.0851630288521687,0.0708204009131751,-0.6615998090100156,0.2309133836473393,0,0.9999999997694431,1.3655079433605839e-39,2.3044736281105243e-10,0
2017-12-25,14221.93,14774.0,13450.0,14171.98,15425.35357187,-0.0035190668676963,0.0850922991684233,0.0644009003374512,-1.0606017879834078,0.2123608351600468,0,0.999999999996362,4.655094228461852e-35,3.652617357165006e-12,0
2017-12-26,14171.99,16148.0,14171.98,15790.88,22462.7056247,0.1081657824214153,0.0877709893684987,0.0631838459395946,-0.7666311893847373,0.3307674577648143,0,1.0,5.23886151470498e-50,3.165211400579536e-14,0
2017-12-27,15790.88,16490.0,14524.37,15367.08,24957.62817381,-0.0272049991697576,0.0789693818950784,0.0640968301037903,-0.5979790690250197,0.2773111422977219,0,0.9999999911383384,5.4638032272162645e-30,8.86182187260564e-09,0
2017-12-28,15360.01,15489.0,13500.0,14450.01,31273.57825037,-0.0615324524207452,0.0644024998792867,0.0618432440227123,-0.2310626216955456,0.1873033401818915,0,0.9999949781748584,1.0600112061133454e-24,5.021825010268509e-06,0
2017-12-29,14450.01,15105.34,14041.81,14565.05,18476.05198941,0.0079297166928392,0.0633744018465286,0.0620729130018234,-0.8013865047219141,0.1823599482604634,0,0.9999993577018602,2.4578761992318776e-19,6.42298093135494e-07,0
2017-12-30,14565.04,14639.79,12500.0,12839.99,28787.73764058,-0.1260603038472511,0.0674291881309476,0.0606162386705092,-0.2198759741622851,0.0318322589170667,0,0.9999998448870548,1.3176444072018474e-45,1.5511286505140024e-07,0
2017-12-31,12839.98,14280.26,12633.8,13863.13,18604.28576752,0.0766682785465801,0.0699382777283931,0.0578208131011396,-0.6905962210379715,0.1007549346913762,0,0.9999999999890861,3.0132310259358933e-38,1.0840574926679517e-11,0
2018-01-01,13863.14,13889.0,12952.5,13480.01,12295.00653579,-0.0280249506682442,0.0658781440520802,0.0561169763065575,-0.944400875909323,0.0575812388114578,0,0.999999977902917,1.4486567742201595e-25,2.2096940042758273e-08,0
2018-01-02,13480.0,15275.0,13005.0,14781.51,26387.93493436,0.0921692280658668,0.0684667245694514,0.0573575779018616,-0.1582098913523281,0.1448783005607316,0,0.9999999999731699,8.031725400472945e-38,2.6917503796487267e-11,0
2018-01-03,14781.52,15400.0,14628.0,15098.14,17877.49528646,0.0211944820362839,0.0676914149744891,0.0582702770373314,-0.5765253096225057,0.1542169718807588,0,0.9999999927099452,8.459724650868619e-24,7.290006194778553e-09,0
2018-01-04,15098.23,15400.0,14230.0,15144.99,20010.43634249,0.0030982267692613,0.0676884082071,0.0599792235467235,-0.4744495469426559,0.1440654209144482,0,0.9999999860651769,1.3057927274233191e-23,1.393481549460593e-08,0
